train_rmse,train_mae,train_mse,test_rmse,test_mae,test_mse,test_r2
0.5894967548044757,0.15087277879424077,0.34750642392500813,0.04240695759654045,0.03235151991248131,0.0017983501311391592,0.20256638526916504
0.025696757683934576,0.019157587123647513,0.0006603233554668506,0.029385782778263092,0.024938536807894707,0.0008635242120362818,0.6170916557312012
0.021925065089106206,0.015911422198261367,0.0004807084791615437,0.028068529441952705,0.023639153689146042,0.0007878423784859478,0.6506508588790894
2.0612569553842546,0.12343376329687675,4.248780236119967,0.014302409254014492,0.010946511290967464,0.0002045589208137244,0.9092934131622314
0.016159308044708796,0.012306063134388362,0.0002611232364837904,0.016748815774917603,0.013037426397204399,0.0002805228577926755,0.8756090998649597
0.016659479313117235,0.01181937872505942,0.0002775382509841811,0.012440871447324753,0.00958617776632309,0.0001547752763144672,0.9313687682151794
0.013693264360572738,0.010405110618838382,0.0001875054888485315,0.011919371783733368,0.009086072444915771,0.00014207142521627247,0.9370019435882568
6.050000182567264,0.2510502540001094,36.602502209063935,0.07237467169761658,0.062437865883111954,0.0052380929701030254,-1.322702169418335
0.07263232005020458,0.0590637394894842,0.005275453915875349,0.04206947609782219,0.03346339240670204,0.0017698407173156738,0.21520811319351196
0.07693503179265468,0.06326200410962421,0.005918999116936785,0.08546742051839828,0.07645843923091888,0.007304680533707142,-2.239078998565674
0.0753292959886845,0.06252398545889862,0.005674502834150838,0.056892767548561096,0.0460798479616642,0.0032367869280278683,-0.4352726936340332
0.07708664012977919,0.06430375130130823,0.005942350086498082,0.04960929602384567,0.0394742414355278,0.0024610820692032576,-0.09130561351776123
0.0803164733429593,0.06794182231834303,0.006450735890250292,0.07377104461193085,0.06391756236553192,0.005442167166620493,-1.4131934642791748
0.05261696113271386,0.04180215515771457,0.0027685445988415206,0.0424921028316021,0.033666376024484634,0.0018055789405480027,0.1993609070777893
0.051620883102006306,0.04091866670982812,0.0026647155722310002,0.05471959337592125,0.044064950197935104,0.0029942337423563004,-0.3277183771133423
0.0513283976754471,0.04063192974505714,0.002634604407928843,0.05740300565958023,0.047374509274959564,0.0032951051834970713,-0.4611324071884155
0.05228759297262421,0.04145490708919691,0.0027339923788708208,0.04557425156235695,0.036042872816324234,0.0020770125556737185,0.07900041341781616
0.0527615052946655,0.04181780177513746,0.0027837764409590154,0.04262499883770943,0.03403288125991821,0.0018168904352933168,0.19434517621994019
0.05253673705199371,0.04180985123058762,0.0027601087400703286,0.06444772332906723,0.05328270047903061,0.004153508692979813,-0.8417701721191406
0.04626204297594779,0.036684041190123806,0.0021401766203084406,0.052785299718379974,0.0423053540289402,0.0027862880378961563,-0.23551011085510254
0.04573141198525537,0.03630414176433883,0.0020913620421651588,0.04490356147289276,0.035494495183229446,0.0020163299050182104,0.10590863227844238
0.046207038819693805,0.03662521407257479,0.0021350904364846905,0.04944080114364624,0.03932638838887215,0.002444393001496792,-0.08390522003173828
0.0459503510978947,0.03645794356175252,0.002111434766019793,0.04343193396925926,0.0343514047563076,0.0018863328732550144,0.16355258226394653
0.04645026021391124,0.036876216457203924,0.002157626673940066,0.047289445996284485,0.03819262981414795,0.002236291766166687,0.008372008800506592
0.045851297201019596,0.036377036674481354,0.0021023414550162276,0.043284885585308075,0.03464139997959137,0.0018735812045633793,0.16920703649520874
0.04395037477848072,0.034837421706360144,0.001931635443168914,0.04209180548787117,0.033407606184482574,0.0017717201262712479,0.21437478065490723
0.044068498088856475,0.03493731955122181,0.0019420325238075466,0.05416429787874222,0.04355557635426521,0.0029337711166590452,-0.30090785026550293
0.04394670210056903,0.03483731724241429,0.0019313126255161583,0.04502251744270325,0.03559079393744469,0.002027027076110244,0.10116523504257202
0.043982308983181,0.03484959263405598,0.0019344435034920038,0.0471305213868618,0.037342946976423264,0.0022212860640138388,0.015025973320007324
0.04407802573445664,0.034923930179665656,0.0019428723526474217,0.04232225939631462,0.033550914376974106,0.0017911737086251378,0.2057485580444336
0.04419359022764137,0.03505397078115754,0.0019530734172086785,0.042420901358127594,0.03361762687563896,0.0017995330272242427,0.20204180479049683
0.04304680132254834,0.03409080097510446,0.0018530271041029495,0.045038528740406036,0.03560379147529602,0.002028468996286392,0.1005258560180664
0.04299590465628162,0.034046652196249604,0.0018486478172120597,0.04205098748207092,0.033389609307050705,0.001768285408616066,0.215897798538208
0.042996521886044414,0.034067563700214964,0.0018487008942970964,0.04368496313691139,0.035004984587430954,0.0019083761144429445,0.153778076171875
0.04310387765798567,0.03414661593591365,0.0018579442691545962,0.044867269694805145,0.036065176129341125,0.002013071905821562,0.1073533296585083
0.0430651915356327,0.03409929994090128,0.0018546107220007305,0.04204964265227318,0.033389218151569366,0.0017681724857538939,0.2159479260444641
0.04297516226555986,0.03405647522387594,0.0018468645717512003,0.042283810675144196,0.033696770668029785,0.0017879207152873278,0.20719099044799805
0.042453001281748226,0.03361091109516284,0.0018022573178281163,0.042281776666641235,0.033523980528116226,0.0017877485370263457,0.2072674036026001
0.042443020551718454,0.033591349155760314,0.001801409993553595,0.0437559075653553,0.03459647670388222,0.0019145795376971364,0.15102732181549072
0.04251624438455196,0.033680026219784824,0.0018076310365669462,0.042510367929935455,0.03367904946208,0.0018071314552798867,0.19867253303527832
0.042455154917970805,0.033623035926477966,0.0018024401791089009,0.04205392301082611,0.03339049592614174,0.0017685324419289827,0.21578830480575562
0.04260899954050725,0.03373313225541705,0.0018155268418429472,0.04210701212286949,0.033507704734802246,0.0017730005783960223,0.21380698680877686
0.042468295584414076,0.033639269373743626,0.001803556129845164,0.04204501956701279,0.033387962728738785,0.00176778354216367,0.21612036228179932
0.04228533813395702,0.033484197800064494,0.0017880498211030795,0.042064156383275986,0.03345673158764839,0.001769393333233893,0.21540653705596924
0.04225640598478198,0.033477276526916,0.0017856038467507186,0.042466092854738235,0.033648472279310226,0.0018033691449090838,0.20034080743789673
0.04228100915164067,0.033481860545251665,0.0017876837348811219,0.04225810989737511,0.03367006033658981,0.001785747823305428,0.20815449953079224
0.04231295082589398,0.03350624456471907,0.0017903858075945219,0.04288214445114136,0.034272242337465286,0.0018388783792033792,0.18459510803222656
0.042277803036164505,0.033470470248889356,0.0017874126295647208,0.04275299981236458,0.03385087475180626,0.0018278189236298203,0.1894991397857666
0.04225837242712307,0.03346585845260667,0.0017857700401894354,0.04220038652420044,0.03347187861800194,0.0017808726988732815,0.21031630039215088
0.04213008305922804,0.033355617200734614,0.001774943898577453,0.04233936592936516,0.03356238827109337,0.001792621798813343,0.2051064372062683
0.042137712213573826,0.033366665334114906,0.0017755867905939686,0.04216858372092247,0.03345252573490143,0.0017781895585358143,0.21150606870651245
0.04212738103863174,0.03335026486440405,0.0017747162331740694,0.0420335978269577,0.03338683769106865,0.0017668234650045633,0.21654605865478516
0.04213456644494056,0.03336068255365013,0.001775321689503111,0.04202985018491745,0.033388614654541016,0.0017665084451436996,0.21668577194213867
0.04214948352601748,0.03337406026226659,0.0017765789615100192,0.0420386865735054,0.03338690474629402,0.0017672512913122773,0.2163563370704651
0.042131710237514775,0.0333623988801868,0.0017750810075379071,0.042060818523168564,0.0333927683532238,0.0017691124230623245,0.2155311107635498
0.042070091453630463,0.03330554847621212,0.0017698925949168312,0.0421757772564888,0.03345689922571182,0.0017787963151931763,0.21123701333999634
0.042060727540016676,0.033297916135060696,0.0017691048011955173,0.042278923094272614,0.03352208435535431,0.0017875073244795203,0.20737433433532715
0.042069917329453525,0.03330323715944774,0.0017698779441070542,0.04203895106911659,0.03342195972800255,0.0017672735266387463,0.21634650230407715
0.04206622563357689,0.0333080982450842,0.0017695673390550016,0.042032983154058456,0.033411603420972824,0.0017667716601863503,0.21656906604766846
0.042061814069508985,0.03329550827655723,0.001769196202817944,0.04202819615602493,0.033390842378139496,0.0017663692124187946,0.21674752235412598
0.042068686898394984,0.03330616841908174,0.00176977441735519,0.042091552168130875,0.03340747207403183,0.0017716988222673535,0.2143842577934265
0.0420406759093646,0.033278017123178155,0.0017674184309162287,0.04203043505549431,0.0333881676197052,0.0017665575724095106,0.21666401624679565
0.04203178027582758,0.03327759401912752,0.0017666705531554484,0.0420549251139164,0.03339080139994621,0.0017686166102066636,0.21575093269348145
0.04202437949084657,0.03326840563714293,0.001766048471590686,0.042127691209316254,0.033427804708480835,0.0017747425008565187,0.21303457021713257
0.042029292827113804,0.03327233568290223,0.0017664614555472796,0.04211558774113655,0.03342073783278465,0.001773722586221993,0.21348685026168823
0.042033108357178654,0.03328358601313658,0.001766782198166322,0.042116452008485794,0.03351821005344391,0.0017737954622134566,0.2134544849395752
0.04203333469803463,0.03327294324064587,0.0017668012258370018,0.042052652686834335,0.0333901084959507,0.0017684254562482238,0.21583575010299683
0.04201035658933049,0.03326060328505018,0.001764870060762704,0.04203442484140396,0.03338673338294029,0.0017668927321210504,0.21651536226272583
0.04200705775272671,0.03325613923352752,0.001764592901040917,0.04206037521362305,0.03339260816574097,0.001769075053744018,0.21554768085479736
0.0420083461270051,0.0332599924716947,0.0017647011443262645,0.04202766343951225,0.033392708748579025,0.001766324625350535,0.21676725149154663
0.042011707075794914,0.03326170253673305,0.0017649835314223967,0.04203794151544571,0.03338681906461716,0.0017671886598691344,0.2163841724395752
0.04201025555064706,0.033259548066418274,0.0017648615714306718,0.042036496102809906,0.033386725932359695,0.0017670670058578253,0.21643811464309692
0.04201155393133822,0.03325763682401749,0.0017649706637257402,0.04202768951654434,0.03339730203151703,0.001766326604411006,0.216766357421875
0.04201855799545051,0.03326249601688873,0.0017655592160170383,0.042051587253808975,0.03338978439569473,0.0017683359328657389,0.21587538719177246
0.04200778946017578,0.03325152922733746,0.0017646543753304556,0.04202751815319061,0.03339550271630287,0.0017663122853264213,0.21677279472351074
0.042011321833171515,0.033256553626823546,0.0017649511621703135,0.042038336396217346,0.03338686004281044,0.0017672217218205333,0.21636950969696045
0.04201286141526215,0.03326139665502063,0.001765080524298023,0.04203200340270996,0.033387333154678345,0.0017666892381384969,0.21660560369491577
0.04201554518228509,0.033263566434682784,0.0017653060369646398,0.04203835129737854,0.03338686004281044,0.0017672231188043952,0.21636885404586792
0.042010274673542077,0.03325909458185104,0.001764863178146451,0.04202791675925255,0.033391669392585754,0.0017663456965237856,0.2167578935623169
0.04201155432008148,0.03325729074041682,0.001764970696389157,0.042027611285448074,0.0333966389298439,0.0017663199687376618,0.21676933765411377
0.04201240023308605,0.0332588118823042,0.0017650417733450084,0.042120371013879776,0.03342349827289581,0.0017741257324814796,0.21330809593200684
0.04201029332736631,0.03325759057348876,0.0017648647454513587,0.042036186903715134,0.0333867147564888,0.0017670410452410579,0.21644961833953857
0.0420096894276044,0.0332578588674297,0.001764814005803777,0.04204658046364784,0.03343336656689644,0.0017679148586466908,0.21606212854385376
0.042009932658837644,0.03325767021348128,0.0017648344420000735,0.04203273728489876,0.033387068659067154,0.001766751054674387,0.2165781855583191
0.04201318983706797,0.03325749875162863,0.0017651081202855114,0.042040687054395676,0.033387184143066406,0.0017674193950369954,0.21628183126449585
0.04201512801828227,0.03326262947902738,0.001765270982392648,0.04202992469072342,0.033388540148735046,0.0017665144987404346,0.21668308973312378
0.04201005033217155,0.03325550033740704,0.001764844328911587,0.042065318673849106,0.033394549041986465,0.0017694910056889057,0.21536320447921753
0.042014932569048376,0.03326012339651235,0.0017652545587816821,0.042080409824848175,0.03340158239006996,0.0017707609804347157,0.21480005979537964
0.042015840915053754,0.033263036619992754,0.001765330887799105,0.04204025864601135,0.033387117087841034,0.0017673834227025509,0.21629780530929565
0.04201646329329713,0.03326291307883764,0.0017653831876769846,0.04206608608365059,0.03339486941695213,0.0017695557326078415,0.21533453464508057
0.04201387476290922,0.033257959007161754,0.0017651656725934204,0.042032402008771896,0.03341046720743179,0.001766722765751183,0.21659070253372192
0.04201694683597936,0.03326180577681593,0.0017654238214175162,0.04202810674905777,0.03339937701821327,0.0017663618782535195,0.21675080060958862
0.04201509573902647,0.03326198719373721,0.0017652682699595599,0.04202750325202942,0.03339453041553497,0.001766311121173203,0.21677327156066895
0.04201305193462165,0.03325879573404653,0.0017650965328612157,0.042029865086078644,0.03340483084321022,0.001766509492881596,0.21668529510498047
0.04201298544699219,0.033260431216065776,0.0017650909461691777,0.042028069496154785,0.03339119628071785,0.0017663587350398302,0.21675217151641846
0.042014851650429404,0.03326147065998464,0.0017652477592075904,0.04202830791473389,0.03340015560388565,0.0017663786420598626,0.2167433500289917
0.04201533230943717,0.0332567623948632,0.001765288149072435,0.04202941805124283,0.03340362384915352,0.0017664721235632896,0.21670186519622803
0.04201230593470614,0.03325891128955489,0.0017650338499513446,0.04208197444677353,0.03340238332748413,0.0017708925297483802,0.2147417664527893
0.04201402290797162,0.033263107642025544,0.0017651781209115642,0.042046111077070236,0.033432699739933014,0.0017678755102679133,0.21607953310012817
0.042011349966573575,0.03325367438463517,0.0017649535260139213,0.04207838699221611,0.033400580286979675,0.0017705905484035611,0.2148756980895996
0.042010086117349854,0.03325750678638572,0.001764847335587151,0.04210146144032478,0.033412810415029526,0.0017725330544635653,0.21401429176330566
0.042010262033074786,0.03325688784213932,0.0017648621160876047,0.04210178926587105,0.03341298922896385,0.0017725606448948383,0.2140020728111267
0.04201516457327013,0.03326235438170495,0.0017652740541189735,0.042033206671476364,0.03338692709803581,0.0017667905194684863,0.2165607213973999
0.04201069095253875,0.033262625323013,0.0017648981543097215,0.04210352897644043,0.03341395780444145,0.0017727072117850184,0.21393704414367676
0.0420119484294886,0.033259711067519925,0.0017650038108420097,0.04203024134039879,0.033388301730155945,0.0017665410414338112,0.21667134761810303
0.04201084077688769,0.03326027518849276,0.0017649107427810092,0.04217848181724548,0.033458538353443146,0.0017790242563933134,0.21113598346710205
0.04201152975354952,0.03326071859737194,0.0017649686322333768,0.042174652218818665,0.033456217497587204,0.0017787014367058873,0.21127909421920776
